UID          PID    PPID  C STIME TTY          TIME CMD
root       43456       2  0 13:13 ?        00:00:00 [kworker/u6:1-events_unbound]
root       43571       2  0 13:15 ?        00:00:00 [kworker/u5:3-flush-8:0]
root       44598       2  0 13:23 ?        00:00:00 [kworker/u6:3-writeback]
root       44625       2  0 13:24 ?        00:00:00 [kworker/0:0H-kblockd]
root       44851       2  0 13:30 ?        00:00:00 [kworker/u5:2-events_unbound]
rnyhof     44876   36418  0 13:31 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -childID 21 -isForBrowser -prefsLen 31798 -prefMapSize 238299 -jsInitLen 235124 -parentBuildID 20240307150328 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {862483b8-237f-4382-a751-4e4ce2ce6d24} 36418 true tab
root       44901       2  0 13:31 ?        00:00:00 [kworker/u6:2-events_unbound]
root       44915       2  0 13:32 ?        00:00:01 [kworker/0:0-events]
root       44970       2  0 13:35 ?        00:00:01 [kworker/1:1-events]
rnyhof     45254    2677  0 13:37 pts/0    00:00:00 /bin/ksh -l
root       45519       2  0 13:45 ?        00:00:00 [kworker/0:1H-ttm]
root       45931       2  0 13:55 ?        00:00:00 [kworker/0:1-events]
root       45975       2  0 13:56 ?        00:00:00 [kworker/1:3-ata_sff]
root       46084       1  0 13:58 ?        00:00:00 /usr/libexec/sssd/sssd_kcm --uid 0 --gid 0 --logger=files
root       46158     714  0 13:58 ?        00:00:00 systemd-userwork: waiting...
root       46159     714  0 13:58 ?        00:00:00 systemd-userwork: waiting...
root       46206       2  0 14:00 ?        00:00:00 [kworker/u5:0-xfs-cil/sda2]
root       46286     714  0 14:00 ?        00:00:00 systemd-userwork: waiting...
root       46290       2  0 14:00 ?        00:00:00 [kworker/0:2H-kblockd]
root       46389       2  0 14:01 ?        00:00:00 [kworker/1:0]
root       46405       2  0 14:01 ?        00:00:00 [kworker/0:2]
rnyhof     46492   45254  0 14:03 pts/0    00:00:00 ps -ef
